Category,Phrases,Number of Words,Total Number of Letters,First Word Letters
Food and Drink,Canned Tuna,2,10,6
Food and Drink,Canned Tuna Fish,3,14,6
Food and Drink,Cannellini Beans,2,15,10
Food and Drink,Cannelloni,1,10,10
Food and Drink,Cantaloupe,1,10,10
Food and Drink,Cantaloupe And Honeydew,3,21,10
Food and Drink,Cantaloupe Cooler,2,16,10
Food and Drink,Cantaloupe Sherbet,2,17,10
Food and Drink,Cantonese Cuisine,2,16,9
Food and Drink,Cape Gooseberry,2,14,4
Food and Drink,Cappuccino,1,10,10
Food and Drink,Cappuccino Bar,2,13,10
Food and Drink,Cappuccino With Biscotti,3,22,10
Food and Drink,Cappuccino-Frosted Brownies,2,25,17
Food and Drink,Carafe Of Wine,3,12,6
Food and Drink,Caramel Apple Cake,3,16,7
Food and Drink,Caramel Apple Cheesecake,3,22,7
Food and Drink,Caramel Apple Cheesecake Tart,4,26,7
Food and Drink,Caramel Apple Strudel,3,19,7
Food and Drink,Caramel Apple Tartlets,3,20,7
Food and Drink,Caramel Apples,2,13,7
Food and Drink,Caramel Apples Rolled In Chopped Peanuts,6,35,7
Food and Drink,Caramel Candy,2,12,7
Food and Drink,Caramel Cheesecake,2,17,7
Food and Drink,Caramel Chews,2,12,7
Food and Drink,Caramel Coffee,2,13,7
Food and Drink,Caramel Cookies,2,14,7
Food and Drink,Caramel Corn,2,11,7
Food and Drink,Caramel Crunch Cake,3,17,7
Food and Drink,Caramel Flavoring,2,16,7
Food and Drink,Caramel Fondue,2,13,7
Food and Drink,Caramel Frosting,2,15,7
Food and Drink,Caramel Java Freeze,3,17,7
Food and Drink,Caramel Latte With Whipped Cream,5,28,7
Food and Drink,Caramel Macchiato,2,16,7
Food and Drink,Caramel Marshmallow Popcorn Balls,4,30,7
Food and Drink,Caramel Milk Creme,3,16,7
Food and Drink,Caramel Pecan Pumpkin Bread,4,24,7
Food and Drink,Caramel Popcorn,2,14,7
Food and Drink,Caramel Popcorn & Nuts,3,18,7
Food and Drink,Caramel Sauce,2,12,7
Food and Drink,Caramel Spice Cake,3,16,7
Food and Drink,Caramel Sticky Buns,3,17,7
Food and Drink,Caramel Topping,2,14,7
Food and Drink,Caramel Walnuts,2,14,7
Food and Drink,Caramel-Apple Cake,2,16,12
Food and Drink,Caramel-Apple Cheesecake,2,22,12
Food and Drink,Caramel-Apple Strudel,2,19,12
Food and Drink,Caramel-Chocolate Popcorn,2,23,16
Food and Drink,Caramel-Crunch Cake,2,17,13
Food and Drink,Caramel-Dipped Apples,2,19,13
Food and Drink,Caramel-Drizzled Popcorn,2,22,15
Food and Drink,Caramelized - Onion Jam,3,19,11
Food and Drink,Caramelized Apples,2,17,11
Food and Drink,Caramelized Banana Pudding,3,24,11
Food and Drink,Caramelized Butternut Squash,3,26,11
Food and Drink,Caramelized Nuts,2,15,11
Food and Drink,Caramelized Onions,2,17,11
Food and Drink,Caramelized Shallots,2,19,11
Food and Drink,Caramelized-Onion Jam,2,19,16
Food and Drink,Caramel-Java Freeze,2,17,11
Food and Drink,Caramel-Marshmallow Popcorn Balls,3,30,18
Food and Drink,Caramel-Pecan-Pumpkin Bread Pudding,3,31,19
Food and Drink,Caraway Dill Bread,3,16,7
Food and Drink,Caraway-Dill Bread,2,16,11
Food and Drink,Carbonated Water,2,15,10
Food and Drink,Cardamom,1,8,8
Food and Drink,Carnation Breakfast Essentials,3,28,9
Food and Drink,Carne Asada Fries,3,15,5
Food and Drink,Carne Asada With French Fries,5,25,5
Food and Drink,Carolina Gold Tomatoes,3,20,8
Food and Drink,Carrot & Celery Sticks,3,18,6
Food and Drink,Carrot & Fennel Soup,3,16,6
Food and Drink,Carrot & Raisin Salad,3,17,6
Food and Drink,Carrot And Celery Sticks,4,21,6
Food and Drink,Carrot And Raisin Salad,4,20,6
Food and Drink,Carrot Cake,2,10,6
Food and Drink,Carrot Cake With Cream Cheese Frosting,6,33,6
Food and Drink,Carrot Cake With Cream Cheese Icing,6,30,6
Food and Drink,Carrot Ginger Teacake,3,19,6
Food and Drink,Carrot Juice,2,11,6
Food and Drink,Carrot Relish,2,12,6
Food and Drink,Carrot Salad,2,11,6
Food and Drink,Carrot Salad With Raisins,4,22,6
Food and Drink,Carrot Smoothie,2,14,6
Food and Drink,Carrot Sticks,2,12,6
Food and Drink,Carrot Sticks With Ranch Dressing,5,29,6
Food and Drink,Carrot-Ginger Teacake,2,19,12
Food and Drink,Carrots & Golden Raisins,3,20,7
Food and Drink,Carrots & Onions,2,13,7
Food and Drink,Carrots & Turnips,2,14,7
Food and Drink,Carrots And Raisins,3,17,7
Food and Drink,Carrots And Turnips,3,17,7
Food and Drink,Carrots Turnips & Potatoes,3,22,7
Food and Drink,"Carrots, Turnips, & Potatoes",3,22,8
Food and Drink,Carrot-Walnut Loaf,2,16,12
Food and Drink,Carton Of Milk,3,12,6
Food and Drink,Cashew Brittle,2,13,6
Food and Drink,Cashew Cheese,2,12,6
Food and Drink,Cashew Chicken With Steamed Rice,5,28,6
Food and Drink,Cashew Milk,2,10,6
Food and Drink,Cashew Peanuts,2,13,6
Food and Drink,Cashews & Raisins,2,14,7
Food and Drink,Cashews Almonds & Spanish Nuts,4,25,7
Food and Drink,Cashews And Walnuts,3,17,7
Food and Drink,Cassata Cake,2,11,7
Food and Drink,Cat Treats,2,9,3
Food and Drink,Catch Of The Day,4,13,5
Food and Drink,Catering Platters,2,16,8
Food and Drink,Catfish Gumbo,2,12,7
Food and Drink,Cauliflower Casserole,2,20,11
Food and Drink,Cauliflower Fritters,2,19,11
Food and Drink,Cauliflower Gratin,2,17,11
Food and Drink,Cauliflower Pizza Crust,3,21,11
Food and Drink,Cauliflower Salad,2,16,11
Food and Drink,Cauliflower With Potatoes,3,23,11
Food and Drink,Caviar,1,6,6
Food and Drink,Caviar & Smoked Salmon,3,18,6
Food and Drink,Caviar Dip,2,9,6
Food and Drink,Cayenne Pepper,2,13,7
Food and Drink,Celery & Radishes,2,14,6
Food and Drink,Celery Root,2,10,6
Food and Drink,Celery Salad,2,11,6
Food and Drink,Celery Salad Dressed With Mustard,5,29,6
Food and Drink,Celery Salt,2,10,6
Food and Drink,Celery Stalks,2,12,6
Food and Drink,Celery Stick,2,11,6
Food and Drink,Celery Sticks,2,12,6
Food and Drink,Celery Sticks With Peanut Butter,5,28,6
Food and Drink,Celery Sticks With Pimiento Spread,5,30,6
Food and Drink,Celery With Peanut Butter,4,22,6
Food and Drink,Celestial Seasonings Tea,3,22,9
Food and Drink,Celestial Seasonings Teas,3,23,9
Food and Drink,Cellophane-Wrapped Oatmeal Cookies,3,31,17
Food and Drink,Cereal Bar,2,9,6
Food and Drink,Cereal Flakes,2,12,6
Food and Drink,Cereal With Milk,3,14,6
Food and Drink,Ceviche,1,7,7
Food and Drink,Chablis,1,7,7
Food and Drink,Chai Cream Pie,3,12,4
Food and Drink,Chai Tea,2,7,4
Food and Drink,Chai Tea Latte,3,12,4
Food and Drink,Challah Bread,2,12,7
Food and Drink,Chalupa With Guacamole,3,20,7
Food and Drink,Champagne,1,9,9
Food and Drink,Champagne & Caviar,2,15,9
Food and Drink,Champagne & Strawberries,2,21,9
Food and Drink,Champagne Brunch,2,15,9
Food and Drink,Champagne Grapes,2,15,9
Food and Drink,Champagne Punch,2,14,9
Food and Drink,Charbroiled Beef Skewers,3,22,11
Food and Drink,Chargrilled Beef Skewers,3,22,11
Food and Drink,Charred Eggplant,2,15,7
Food and Drink,Cheap & Fast Meal,3,13,5
Food and Drink,Cheap Eats,2,9,5
Food and Drink,Cheat Meal,2,9,5
Food and Drink,Cheddar & Sour Cream Potato Chips,5,27,7
Food and Drink,Cheddar Beef Enchiladas,3,21,7
Food and Drink,Cheddar Cheese,2,13,7
Food and Drink,Cheddar Cheese & Ham Omelet,4,22,7
Food and Drink,Cheddar Cheese & Ham Omelette,4,24,7
Food and Drink,Cheddar Cheese Corn Dogs,4,21,7
Food and Drink,Cheddar Cheese Crackers,3,21,7
Food and Drink,Cheddar Cheese Fries,3,18,7
Food and Drink,Cheddar Cheese Popcorn,3,20,7
Food and Drink,Cheddar Crackers,2,15,7
Food and Drink,Cheddar Fondue,2,13,7
Food and Drink,Cheddar Popcorn,2,14,7
Food and Drink,Cheddar Potato Chips,3,18,7
Food and Drink,Cheddar-Bacon Dip,2,15,12
Food and Drink,Cheddar-Cheese Corn Dogs,3,21,13
Food and Drink,Cheddar-Cheese Crackers,2,21,13
Food and Drink,Cheddar-Cheese Fries,2,18,13
Food and Drink,Cheddar-Cheese Fries Under,3,23,13
Food and Drink,Cheddar-Cheese Popcorn,2,20,13
Food and Drink,Cheddar-Garlic Oven Fries,3,22,13
Food and Drink,Cheers Snack Mix,3,14,6
Food and Drink,Cheese & Breadcrumbs,2,17,6
Food and Drink,Cheese & Butter,2,12,6
Food and Drink,Cheese & Cracker Plate,3,18,6
Food and Drink,Cheese & Crackers,2,14,6
Food and Drink,Cheese & Herb Pastry,3,16,6
Food and Drink,Cheese & Nuts,2,10,6
Food and Drink,Cheese & Salsa,2,11,6
Food and Drink,Cheese & Walnut Panini,3,18,6
Food and Drink,Cheese And Bacon Roll,4,18,6
Food and Drink,Cheese And Crackers,3,17,6
Food and Drink,Cheese Blintz,2,12,6
Food and Drink,Cheese Burrito,2,13,6
Food and Drink,Cheese Cake,2,10,6
Food and Drink,Cheese Cheddar Tray,3,17,6
Food and Drink,Cheese Covered Breadsticks,3,24,6
Food and Drink,Cheese Cucumber & Chive Spread,4,25,6
Food and Drink,Cheese Danish,2,12,6
Food and Drink,Cheese Dip,2,9,6
Food and Drink,Cheese Dip With Crackers,4,21,6
Food and Drink,Cheese Dumplings,2,15,6
Food and Drink,Cheese Enchilada,2,15,6
Food and Drink,Cheese Filled Croissant,3,21,6
Food and Drink,Cheese Filled Pancakes,3,20,6
Food and Drink,Cheese Fondue,2,12,6
Food and Drink,Cheese Fries,2,11,6
Food and Drink,Cheese Garlic Biscuit,3,19,6
Food and Drink,Cheese Pizza,2,11,6
Food and Drink,Cheese Puff Canapes,3,17,6
Food and Drink,Cheese Puffs,2,11,6
Food and Drink,Cheese Puffs & Pork Rinds,4,20,6
Food and Drink,Cheese Ravioli,2,13,6
Food and Drink,Cheese Roll,2,10,6
Food and Drink,Cheese Sauce,2,11,6
Food and Drink,Cheese Slices,2,12,6
Food and Drink,Cheese Sticks,2,12,6
Food and Drink,Cheese Stuffed Dates,3,18,6
Food and Drink,Cheese Stuffed Mushrooms,3,22,6
Food and Drink,Cheese Tray,2,10,6
Food and Drink,Cheese Wedge,2,11,6
Food and Drink,Cheeseburger,1,12,12
Food and Drink,Cheesecake Bars,2,14,10
Food and Drink,Cheesecake Ice Cream,3,18,10
Food and Drink,Cheesecake With Apricot Glaze,4,26,10
Food and Drink,Cheesecake With Strawberry Topping,4,31,10
Food and Drink,Cheese-Covered Breadsticks,2,24,13
Food and Drink,Cheese-Filled Croissant,2,21,12
Food and Drink,Cheese-Filled Croissants,2,22,12
Food and Drink,Cheese-Filled Pancakes,2,20,12
Food and Drink,Cheese-Garlic Biscuits,2,20,12
Food and Drink,Cheese-It Crackers,2,16,8
Food and Drink,Cheese-Stuffed Dates,2,18,13
Food and Drink,Cheese-Stuffed Mushrooms,2,22,13
Food and Drink,Cheesy Bread,2,11,6
Food and Drink,Cheesy Broccoli Soup,3,18,6
Food and Drink,Cheesy Casserole,2,15,6
Food and Drink,Cheesy Cheddar Orzo,3,17,6
Food and Drink,Cheesy Cheddar Tray,3,17,6
Food and Drink,Cheesy Doritos & Creamed-Filled Twinkies,4,34,6
Food and Drink,Cheesy Doritos & Cream-Filled Twinkies,4,32,6
Food and Drink,Cheesy Fries,2,11,6
Food and Drink,Cheesy Grits,2,11,6
Food and Drink,Cheesy Macaroni,2,14,6
Food and Drink,Cheesy Pasta,2,11,6
Food and Drink,Cheesy Pizza Pies,3,15,6
Food and Drink,Cheesy Pizza Rolls,3,16,6
Food and Drink,Cheesy Popcorn Seasoning,3,22,6
Food and Drink,Cheesy Potato Puffs,3,17,6
Food and Drink,Cheesy Rigatoni Torta,3,19,6
Food and Drink,Cheesy Snack Mix,3,14,6
Food and Drink,Cheez-It Crackers,2,15,7
Food and Drink,Chef's Special,2,12,5
Food and Drink,Chefs Special,2,12,5
Food and Drink,Chelsea Buns,2,11,7
Food and Drink,Cherries & Grapes,2,14,8
Food and Drink,Cherries In Red Wine Sauce,5,22,8
Food and Drink,Cherries Jubilee,2,15,8
Food and Drink,Cherries Peaches & Figs,3,19,8
Food and Drink,Cherry & Beefsteak Tomatoes,3,23,6
Food and Drink,Cherry Blossoms,2,14,6
Food and Drink,Cherry Cheesecake,2,16,6
Food and Drink,Cherry Cobbler,2,13,6
Food and Drink,Cherry Coke,2,10,6
Food and Drink,Cherry Cooler,2,12,6
Food and Drink,Cherry Jolly Ranchers,3,19,6
Food and Drink,Cherry Lemonade,2,14,6
Food and Drink,Cherry Lifesavers,2,16,6
Food and Drink,Cherry Oat Bars,3,13,6
Food and Drink,Cherry Pastry,2,12,6
Food and Drink,Cherry Pepper,2,12,6
Food and Drink,Cherry Peppers,2,13,6
Food and Drink,Cherry Pie,2,9,6
Food and Drink,Cherry Pie Filling,3,16,6
Food and Drink,Cherry Pie With Homemade Ice Cream,6,29,6
Food and Drink,Cherry Pie With Homemade Icecream,5,29,6
Food and Drink,Cherry Pie With Whipped Cream,5,25,6
Food and Drink,Cherry Popsicle,2,14,6
Food and Drink,Cherry Soup,2,10,6
Food and Drink,Cherry Tomatoes,2,14,6
Food and Drink,Cherry Tomatoes & Black Olives,4,25,6
Food and Drink,Cherry Tootsie Pops,3,17,6
Food and Drink,Cherry Turnover,2,14,6
Food and Drink,Cherry-Brandy Baked Brie,3,21,12
Food and Drink,Chestnut-Filled Cakes,2,19,14
Food and Drink,Chew Bagels,2,10,4
Food and Drink,Chewy & Fruity Mentos,3,17,5
Food and Drink,Chewy & Sugary Nougat,3,17,5
Food and Drink,Chewy Bagels,2,11,5
Food and Drink,Chewy Baked Brownies,3,18,5
Food and Drink,Chewy Brownies,2,13,5
Food and Drink,Chewy Candies,2,12,5
Food and Drink,Chewy Caramel,2,12,5
Food and Drink,Chewy Caramel Candy,3,17,5
Food and Drink,Chewy Caramel Squares,3,19,5
Food and Drink,Chewy Caramels,2,13,5
Food and Drink,Chewy Chocolate Chip Cookies,4,25,5
Food and Drink,Chewy Cookies,2,12,5
Food and Drink,Chewy Jerky,2,10,5
Food and Drink,Chewy Licorice,2,13,5
Food and Drink,Chewy Maple Taffy,3,15,5
Food and Drink,Chewy Marshmallow Squares,3,23,5
Food and Drink,Chewy Peach Rings,3,15,5
Food and Drink,Chewy Raspberry Licorice,3,22,5
Food and Drink,Chewy Saltwater Taffy,3,19,5
Food and Drink,Chewy Soft Licorice,3,17,5
Food and Drink,Chewy Sweet Candy,3,15,5
Food and Drink,Chewy Taffy,2,10,5
Food and Drink,Chia Breakfast Bowl,3,17,4
Food and Drink,Chia Powder,2,10,4
Food and Drink,Chia-Seed Muesli Bars,3,18,8
Food and Drink,Chia-Seed Smoothie,2,16,8
Food and Drink,Chicago Style Pizza,3,17,7
Food and Drink,Chicago-Style Pizza,2,17,12
Food and Drink,Chicha Morada,2,12,6
Food and Drink,Chicharron Sandwich,2,18,10
Food and Drink,Chicken,1,7,7
Food and Drink,Chicken & Bok Choy Stir-Fry,4,21,7
Food and Drink,Chicken & Corn Chili,3,16,7
Food and Drink,Chicken & Dumplings,2,16,7
Food and Drink,Chicken & Leek Soup,3,15,7
Food and Drink,Chicken & Potato Curry,3,18,7
Food and Drink,Chicken & Rice Paprikash Casserole,4,29,7
Food and Drink,Chicken & Sweet-Corn Chowder,3,23,7
Food and Drink,Chicken & Vegetable Soup,3,20,7
Food and Drink,Chicken & Waffles,2,14,7
Food and Drink,Chicken & White Bean Soup,4,20,7
Food and Drink,Chicken & White-Bean Soup,3,20,7
Food and Drink,Chicken Amandine,2,15,7
Food and Drink,Chicken And Corn Soup,4,18,7
Food and Drink,Chicken And Dumplings,3,19,7
Food and Drink,Chicken Apple Sausage,3,19,7
Food and Drink,Chicken Braised With Fennel,4,24,7
Food and Drink,Chicken Broth,2,12,7
Food and Drink,Chicken Burger,2,13,7
Food and Drink,Chicken Burgers,2,14,7
Food and Drink,Chicken Burrito,2,14,7
Food and Drink,Chicken Cacciatore,2,17,7
Food and Drink,Chicken Caesar Salad,3,18,7
Food and Drink,Chicken Casserole,2,16,7
Food and Drink,Chicken Chop Suey,3,15,7
Food and Drink,Chicken Chow Mein,3,15,7
Food and Drink,Chicken Club Sandwich,3,19,7
Food and Drink,Chicken Cordon Bleu,3,17,7
Food and Drink,Chicken Curry Sala,3,16,7
Food and Drink,Chicken Curry Salad,3,17,7
Food and Drink,Chicken Dinner,2,13,7
Food and Drink,Chicken Drumstick,2,16,7
Food and Drink,Chicken Enchilada,2,16,7
Food and Drink,Chicken Enchiladas,2,17,7
Food and Drink,Chicken Fajitas,2,14,7
Food and Drink,Chicken Fricassee,2,16,7
Food and Drink,Chicken Fried Steak,3,17,7
Food and Drink,Chicken Fries & Applesauce,3,22,7
Food and Drink,Chicken Gnocchi With Brown Butter,5,29,7
Food and Drink,Chicken Gumbo,2,12,7
Food and Drink,Chicken Jambalaya,2,16,7
Food and Drink,Chicken Julienne,2,15,7
Food and Drink,Chicken Kabobs,2,13,7
Food and Drink,Chicken Kiev,2,11,7
Food and Drink,Chicken Legs & Thighs,3,17,7
Food and Drink,Chicken Meatballs,2,16,7
Food and Drink,Chicken Meatballs With Tomatoes & Cilantro,5,36,7
Food and Drink,Chicken Nacho Casserole,3,21,7
Food and Drink,Chicken Nachos,2,13,7
Food and Drink,Chicken Noodle Soup,3,17,7
Food and Drink,Chicken Nuggets,2,14,7
Food and Drink,Chicken Paprika,2,14,7
Food and Drink,Chicken Parmesan,2,15,7
Food and Drink,Chicken Parmesan Meatballs,3,24,7
Food and Drink,Chicken Parmigiana,2,17,7
Food and Drink,Chicken Pho,2,10,7
Food and Drink,Chicken Pizzaiola With Pasta,4,25,7
Food and Drink,Chicken Posole,2,13,7
Food and Drink,Chicken Pot Pie,3,13,7
Food and Drink,Chicken Pot Stickers,3,18,7
Food and Drink,Chicken Quesadilla,2,17,7
Food and Drink,Chicken Quesadillas,2,18,7
Food and Drink,Chicken Quiche,2,13,7
Food and Drink,Chicken Ravioli,2,14,7
Food and Drink,Chicken Salad,2,12,7
Food and Drink,Chicken Salad With A Lettuce Wedge,6,29,7
Food and Drink,Chicken Salad With Celery & Walnuts,5,29,7
Food and Drink,Chicken Sandwich,2,15,7
Food and Drink,Chicken Sausage,2,14,7
Food and Drink,Chicken Sausage Rolls,3,19,7
Food and Drink,Chicken Sausages,2,15,7
Food and Drink,Chicken Sliders,2,14,7
Food and Drink,Chicken Soup,2,11,7
Food and Drink,Chicken Soup With Noodles,4,22,7
Food and Drink,Chicken Spaghetti Casserole,3,25,7
Food and Drink,Chicken Strips With Bbq Sauce,5,25,7
Food and Drink,Chicken Strips With Hot Mustard Dip,6,30,7
Food and Drink,Chicken Teriyaki,2,15,7
Food and Drink,Chicken Tortilla Casserole,3,24,7
Food and Drink,Chicken Tostada,2,14,7
Food and Drink,Chicken Wings,2,12,7
Food and Drink,Chicken With Broccoli,3,19,7
Food and Drink,Chicken With Creamy Gravy,4,22,7
Food and Drink,Chicken With Piquillos,3,20,7
Food and Drink,Chicken With Poquillos,3,20,7
Food and Drink,Chicken Wrap,2,11,7
Food and Drink,Chicken-Apple Sausage,2,19,12
Food and Drink,Chicken-Caesar Salad,2,18,13
Food and Drink,Chicken-Chili Wonton Bites,3,23,12
Food and Drink,Chicken-Fried Steak,2,17,12
Food and Drink,Chicken-Noodle Casserole,2,22,13
Food and Drink,Chicken-Parmesan Meatballs,2,24,15
Food and Drink,Chicken-Sausage Rolls,2,19,14
Food and Drink,Chicken-Soup Dumplings,2,20,11
Food and Drink,Chicken-Squash Fricassee,2,22,13
Food and Drink,Chicken-Tortilla Casserole,2,24,15
Food and Drink,Chickpea & Sesame Dip,3,17,8
Food and Drink,Chickpea Dip,2,11,8
Food and Drink,Chickpea Flour,2,13,8
Food and Drink,Chickpea Lettuce Wraps,3,20,8
Food and Drink,Chickpea- Pesto Sandwich,3,21,8
Food and Drink,Chickpea Puree & Pickled Shallots,4,28,8
Food and Drink,Chickpea-Pesto Sandwich,2,21,13
Food and Drink,Chickpeas,1,9,9
Food and Drink,Chickpeas & Corn,2,13,9
Food and Drink,Chicory & Chives,2,13,7
Food and Drink,Chiko Rolls,2,10,5
Food and Drink,Children's Chewable Vitamins,3,25,9
Food and Drink,Chile Verde,2,10,5
Food and Drink,Chilean Wines,2,12,7
Food and Drink,Chili- Blackberry Syrup,3,20,5
Food and Drink,Chili Con Carne,3,13,5
Food and Drink,Chili Dog & Fries,3,13,5
Food and Drink,Chili Glaze,2,10,5
Food and Drink,Chili Peppers,2,12,5
Food and Drink,Chili Powder,2,11,5
Food and Drink,Chili Powder Cumin & Oregano,4,23,5
Food and Drink,Chili Relish,2,11,5
Food and Drink,Chili Relleno,2,12,5
Food and Drink,Chili Rubbed Pork Tacos,4,20,5
Food and Drink,Chili With Oyster Crackers,4,23,5
Food and Drink,Chili-Blackberry Syrup,2,20,15
Food and Drink,Chili-Cheese Dip,2,14,11
Food and Drink,Chilidog Casserole,2,17,8
Food and Drink,Chilidog Smothered In Grilled Onions,5,32,8
Food and Drink,Chilies Beans & Corn,3,16,7
Food and Drink,Chilies Relleno,2,14,7
Food and Drink,Chili-Rubbed Pork Tacos,3,20,11
Food and Drink,Chili-Sparked Sweet Potato Soup,4,27,12
Food and Drink,Chili-Spiced Mango,2,16,11
Food and Drink,Chill-Blackberry Syrup,2,20,15
Food and Drink,Chilled Bottle Of Champagne,4,24,7
Food and Drink,Chilled Champagne,2,16,7
Food and Drink,Chilled Eggnog,2,13,7
Food and Drink,Chilled Soup,2,11,7
Food and Drink,Chilled Watercress Salad,3,22,7
Food and Drink,Chimichurri,1,11,11
Food and Drink,Chinese Cabbage,2,14,7
Food and Drink,Chinese Chicken Salad,3,19,7
Food and Drink,Chinese Dumplings,2,16,7
Food and Drink,Chinese Fried Rice,3,16,7
Food and Drink,Chinese New Year Pudding,4,21,7
Food and Drink,Chinese Sausage,2,14,7
Food and Drink,Chinese Year Cake With Spare Ribs,6,28,7
Food and Drink,Chinese-Chicken Salad,2,19,14
Food and Drink,Chipotle Barbecue Sauce,3,21,8
Food and Drink,Chipotle Beef,2,12,8
Food and Drink,Chipotle Beef Sandwiches,3,22,8
Food and Drink,Chipotle Chicken,2,15,8
Food and Drink,Chipotle Chicken Wrap,3,19,8
Food and Drink,Chipped Beef,2,11,7
Food and Drink,Chipped Potatoes,2,15,7
Food and Drink,Chips & Dip,2,8,5
Food and Drink,Chips & Guacamole,2,14,5
Food and Drink,Chips & Salsa,2,10,5
Food and Drink,Chips And Dip,3,11,5
Food and Drink,Chips And Spicy Salsa,4,18,5
Food and Drink,Chips With Homemade Spicy Salsa,5,27,5
Food and Drink,Chips With Salsa & Guacamole,4,23,5
Food and Drink,Chiquita Bananas,2,15,8
Food and Drink,Chive Dumplings In Brown Butter,5,27,5
Food and Drink,Chive Mayonnaise,2,15,5
Food and Drink,Chives Thyme & Parsley,3,18,6
Food and Drink,"Chives, Thyme & Parsley",3,18,7
Food and Drink,Chocolate - Cheesecake Dip,3,22,9
Food and Drink,Chocolate – Covered Bananas,4,23,9
Food and Drink,Chocolate - Dipped Frozen Banana,4,27,9
Food and Drink,Chocolate & Champagne,2,18,9
Food and Drink,Chocolate Angel Food Cake,4,22,9
Food and Drink,Chocolate Appricot Cookies,3,24,9
Food and Drink,Chocolate Apricot Cookies,3,23,9
Food and Drink,Chocolate Babka,2,14,9
Food and Drink,Chocolate Bar,2,12,9
Food and Drink,Chocolate Birthday Cake With Vanilla Icing,6,37,9
Food and Drink,Chocolate Biscotti,2,17,9
Food and Drink,Chocolate Brownie,2,16,9
Food and Drink,Chocolate Brownies,2,17,9
Food and Drink,Chocolate Brownies With Walnuts,4,28,9
Food and Drink,Chocolate Bundt Cake,3,18,9
Food and Drink,Chocolate Bundt Cake With Vanilla Icing,6,34,9
Food and Drink,Chocolate Bunny,2,14,9
Food and Drink,Chocolate Cake With Chocolate Icing,5,31,9
Food and Drink,Chocolate Caramel And Nuts,4,23,9
Food and Drink,Chocolate Caramel Fondue,3,22,9
Food and Drink,Chocolate Caramel Marshmallows,3,28,9
Food and Drink,Chocolate Caramels,2,17,9
Food and Drink,Chocolate Cheesecake,2,19,9
Food and Drink,Chocolate Cheesecake Dip,3,22,9
Food and Drink,Chocolate Cherry Brownies,3,23,9
Food and Drink,Chocolate Cherry Soda,3,19,9
Food and Drink,Chocolate Chip Cookie Dough,4,24,9
Food and Drink,Chocolate Chip Cookie Dough Ice-Cream,5,32,9
Food and Drink,Chocolate Chip Cookies,3,20,9
Food and Drink,Chocolate Chip Cookies & Ice-Cold Milk,5,31,9
Food and Drink,Chocolate Chip Ice Cream With Caramel Sauce,7,37,9
Food and Drink,Chocolate Chip Skillet Cookies,4,27,9
Food and Drink,Chocolate Chunks,2,15,9
Food and Drink,Chocolate Churros,2,16,9
Food and Drink,Chocolate Coconut Cupcakes,3,24,9
Food and Drink,Chocolate Coins In Red Packets,5,26,9
Food and Drink,Chocolate Con Churros,3,19,9
Food and Drink,Chocolate Cookie Mix,3,18,9
Food and Drink,Chocolate Cookie Sandwiches,3,25,9
Food and Drink,Chocolate Cookies,2,16,9
Food and Drink,Chocolate Covered Marshmallows,3,28,9
Food and Drink,Chocolate Covered Nuts,3,20,9
Food and Drink,Chocolate- Covered Raisins,3,23,9
Food and Drink,Chocolate Covered Strawberries,3,28,9
Food and Drink,Chocolate Cream Pie,3,17,9
Food and Drink,Chocolate Cream Puff,3,18,9
Food and Drink,Chocolate Croissant,2,18,9
Food and Drink,Chocolate Cupcakes,2,17,9
Food and Drink,Chocolate Cupcakes With Chocolate Icing,5,35,9
Food and Drink,Chocolate Cupcakes With Icing,4,26,9
Food and Drink,Chocolate Cupcakes With Red & Green Icing,6,34,9
Food and Drink,Chocolate Cupcakes With Vanilla Icing,5,33,9
Food and Drink,Chocolate Desserts,2,17,9
Food and Drink,Chocolate Dipped Bananas,3,22,9
Food and Drink,Chocolate Dipped Figs,3,19,9
Food and Drink,Chocolate Dipped Gingersnaps,3,26,9
Food and Drink,Chocolate Dipped Raspberries,3,26,9
Food and Drink,Chocolate- Dipped Strawberries,3,27,9
Food and Drink,Chocolate Dipped Sugar Cookies,4,27,9
Food and Drink,Chocolate Dipped Waffle Cone,4,25,9
Food and Drink,Chocolate Doughnut,2,17,9
Food and Drink,Chocolate Doughnuts,2,18,9
Food and Drink,Chocolate Doughnuts With Shaved Coconut,5,35,9
Food and Drink,Chocolate Easter Bunny,3,20,9
Food and Drink,Chocolate Eclair Cake,3,19,9
Food and Drink,Chocolate Eclairs,2,16,9
Food and Drink,Chocolate Espresso Martini,3,24,9
Food and Drink,Chocolate- Espresso Martini,3,24,9
Food and Drink,Chocolate Figs,2,13,9
Food and Drink,Chocolate Fondant,2,16,9
Food and Drink,Chocolate Frappe,2,15,9
Food and Drink,Chocolate Frosted Doughnuts With Sprinkles,5,38,9
Food and Drink,Chocolate Fruit Dip,3,17,9
Food and Drink,Chocolate Fruit-Dip,2,17,9
Food and Drink,Chocolate Fudge Shake,3,19,9
Food and Drink,Chocolate Ganache,2,16,9
Food and Drink,Chocolate Glaze,2,14,9
Food and Drink,Chocolate Graham Crackers,3,23,9
Food and Drink,Chocolate Ice-Cream Soda,3,21,9
Food and Drink,Chocolate Layer Cake,3,18,9
Food and Drink,Chocolate Loaf Bread,3,18,9
